,0
383,1258880.746065092
384,1257696.5317020633
385,1255089.06999083
386,1220133.995446861
387,1228227.9026988768
388,1242244.9639931307
389,1235284.0259284605
390,1273290.6793212022
391,1287728.7662366824
392,1303866.0421947625
393,1305209.398637485
394,1299042.6167400044
395,1293945.3286103336
396,1288504.5444874512
397,1323713.0784830095
398,1320661.665113632
399,1322487.0879583
400,1319909.3350195058
401,1313269.922999848
402,1324088.2483227649
403,1314479.0499091556
404,1271611.7651207738
405,1267364.347632881
406,1265741.280344814
407,1260857.809064
408,1278015.0235519519
409,1271485.6885019252
410,1247780.3225904368
411,1236916.3782919478
412,1237246.2111821545
413,1217252.9889155675
414,1219662.7158704516
415,1213923.0266344557
416,1239253.9408087016
417,1221169.0488230458
418,1213338.0831090778
419,1249674.305303505
420,1260754.8090319512
421,1278922.758083057
422,1258996.1831934664
423,1269608.0043361138
